invoice_num,payment_method
I138884,Credit Card
I317333,Debit Card
I127801,Cash
I173702,Credit Card
I337046,Cash
I227836,Credit Card
I121056,Cash
I293112,Credit Card
I293455,Credit Card
I326945,Credit Card
I306368,Cash
I139207,Credit Card
I640508,Debit Card
I179802,Cash
I336189,Credit Card
I688768,Credit Card
I294687,Debit Card
I195744,Credit Card
I993048,Cash
I992454,Cash
I183746,Credit Card
I412481,Cash
I823067,Credit Card
I252275,Cash
I174250,Cash
I195396,Debit Card
I196704,Credit Card
I217053,Cash
I655874,Cash
I209744,Credit Card
I161949,Debit Card
I331891,Credit Card
I768348,Credit Card
I109053,Debit Card
I167211,Credit Card
I339732,Credit Card
I147062,Credit Card
I187519,Credit Card
I106674,Cash
I473411,Cash
I246550,Cash
I138674,Credit Card
I752693,Cash
I826174,Cash
I296025,Credit Card
I117291,Credit Card
I267193,Credit Card
I205366,Debit Card
I269690,Debit Card
I304265,Debit Card
I246562,Cash
I202367,Cash
I664787,Credit Card
I160777,Cash
I137794,Debit Card
I148377,Cash
I258195,Cash
I300213,Credit Card
I263803,Cash
I335713,Cash
I133061,Credit Card
I207205,Debit Card
I209289,Credit Card
I157285,Cash
I218590,Debit Card
I181109,Cash
I221715,Cash
I204979,Debit Card
I115146,Cash
I883721,Credit Card
I402376,Cash
I251356,Cash
I292239,Cash
I276526,Debit Card
I260525,Cash
I870944,Credit Card
I739573,Debit Card
I115870,Cash
I190444,Cash
I309552,Credit Card
I306076,Cash
I321683,Credit Card
I151332,Cash
I340014,Credit Card
I249424,Cash
I227716,Cash
I140663,Cash
I253242,Cash
I108359,Cash
I195567,Debit Card
I289643,Cash
I722319,Debit Card
I317105,Debit Card
I215721,Debit Card
I154469,Debit Card
I172458,Debit Card
I297270,Credit Card
I153930,Cash
I282854,Cash
I869144,Debit Card
I283443,Credit Card
I193271,Debit Card
I985478,Credit Card
I200392,Credit Card
I256691,Cash
I796162,Credit Card
I224371,Credit Card
I215998,Cash
I338966,Cash
I293215,Credit Card
I149688,Cash
I109649,Debit Card
I299820,Cash
I157775,Cash
I317140,Cash
I147334,Cash
I278121,Debit Card
I134452,Credit Card
I320846,Credit Card
I740676,Credit Card
I142331,Debit Card
I222983,Credit Card
I164665,Cash
I133387,Cash
I276763,Debit Card
I273890,Debit Card
I774221,Cash
I202171,Debit Card
I219780,Cash
I160221,Cash
I106691,Cash
I129886,Cash
I745394,Cash
I157056,Cash
I304531,Debit Card
I762439,Cash
I300972,Credit Card
I151588,Credit Card
I657069,Cash
I122655,Credit Card
I236914,Cash
I247471,Cash
I362306,Credit Card
I215279,Credit Card
I216061,Credit Card
I246375,Cash
I103596,Cash
I259878,Credit Card
I206422,Credit Card
I201704,Cash
I168037,Cash
I307534,Cash
I259196,Credit Card
I141241,Credit Card
I289973,Credit Card
I147203,Cash
I323788,Credit Card
I285454,Credit Card
I288152,Debit Card
I134126,Debit Card
I311052,Cash
I176469,Credit Card
I167993,Cash
I222086,Cash
I164597,Cash
I184307,Credit Card
I289905,Cash
I416544,Credit Card
I601026,Credit Card
I257890,Cash
I260028,Cash
I170160,Debit Card
I624164,Cash
I143353,Cash
I278401,Debit Card
I402966,Debit Card
I244241,Credit Card
I179048,Debit Card
I165202,Cash
I328321,Credit Card
I417106,Cash
I248153,Cash
I112270,Cash
I318831,Credit Card
I258322,Cash
I334246,Cash
I198233,Cash
I310819,Credit Card
I409288,Cash
I131054,Cash
I149521,Cash
I156233,Credit Card
I295784,Credit Card
I255381,Debit Card
I337719,Cash
I220863,Cash
I530401,Cash
I219555,Credit Card
I316629,Cash
I795251,Cash
I151099,Credit Card
I286193,Cash
I399563,Cash
I229355,Credit Card
I147727,Credit Card
I504141,Credit Card
I246151,Debit Card
I164675,Cash
I606511,Credit Card
I342816,Cash
I151764,Cash
I226172,Cash
I737630,Cash
I891311,Debit Card
I127733,Cash
I202398,Cash
I160585,Cash
I771414,Cash
I139520,Cash
I291540,Debit Card
I798213,Cash
I232338,Debit Card
I267713,Credit Card
I525798,Cash
I353272,Credit Card
I165687,Cash
I169015,Credit Card
I111305,Cash
I187171,Credit Card
I148276,Debit Card
I783231,Debit Card
I313426,Debit Card
I112291,Credit Card
I402983,Debit Card
I155076,Credit Card
I204056,Credit Card
I218385,Cash
I198698,Debit Card
I428118,Credit Card
I204147,Credit Card
I361028,Cash
I915945,Credit Card
I165461,Credit Card
I762381,Cash
I818298,Debit Card
I261290,Credit Card
I215578,Credit Card
I136666,Credit Card
I120948,Debit Card
I173679,Credit Card
I638275,Credit Card
I551237,Cash
I239285,Credit Card
I723062,Credit Card
I353329,Credit Card
I321920,Cash
I176115,Cash
I251743,Debit Card
I964173,Debit Card
I334389,Cash
I251855,Credit Card
I985808,Cash
I224565,Cash
I239703,Credit Card
I156413,Debit Card
I158683,Debit Card
I983860,Credit Card
I119809,Debit Card
I319942,Debit Card
I133278,Credit Card
I252084,Cash
I182889,Credit Card
I106271,Debit Card
I112481,Cash
I240751,Credit Card
I282789,Cash
I676291,Cash
I827069,Cash
I242823,Debit Card
I208631,Credit Card
I139308,Credit Card
I177201,Cash
I263818,Cash
I174966,Cash
I186896,Credit Card
I207465,Cash
I191148,Credit Card
I159487,Cash
I215141,Cash
I235828,Cash
I281274,Cash
I135898,Debit Card
I943072,Cash
I142738,Credit Card
I304665,Credit Card
I133240,Credit Card
I215906,Debit Card
I247747,Cash
I227154,Cash
I133197,Credit Card
I542618,Debit Card
I522612,Cash
I336817,Cash
I216982,Cash
I317443,Credit Card
I115679,Cash
I227707,Cash
I238456,Cash
I940840,Cash
I298805,Credit Card
I169894,Cash
I183571,Credit Card
I921232,Cash
I130799,Credit Card
I199384,Credit Card
I300557,Debit Card
I162186,Debit Card
I299125,Credit Card
I720017,Credit Card
I293086,Credit Card
I995407,Cash
I306845,Credit Card
I274190,Cash
I305432,Credit Card
I224122,Credit Card
I119142,Debit Card
I117526,Credit Card
I195735,Credit Card
I243930,Debit Card
I320007,Debit Card
I339004,Credit Card
I139437,Credit Card
I325491,Cash
I332582,Cash
I976566,Cash
I420592,Debit Card
I312499,Credit Card
I304591,Debit Card
I122118,Cash
I297539,Credit Card
I339496,Debit Card
I160687,Debit Card
I153842,Credit Card
I615452,Debit Card
I908600,Credit Card
I708279,Credit Card
I328691,Debit Card
I423782,Debit Card
I123315,Debit Card
I182578,Cash
I403818,Cash
I508712,Credit Card
I959992,Cash
I279688,Credit Card
I300847,Credit Card
I170966,Credit Card
I230221,Cash
I317354,Cash
I155404,Cash
I151181,Debit Card
I144046,Credit Card
I959386,Credit Card
I737965,Cash
I194017,Cash
I252777,Cash
I254142,Credit Card
I120850,Credit Card
I220285,Credit Card
I180980,Cash
I301451,Debit Card
I125700,Credit Card
I533062,Cash
I998874,Debit Card
I325619,Debit Card
I200646,Credit Card
I337094,Cash
I436935,Cash
I585560,Cash
I191967,Credit Card
I304567,Credit Card
I232809,Credit Card
I157441,Cash
I591015,Cash
I219334,Credit Card
I162719,Credit Card
I237375,Cash
I289611,Debit Card
I217650,Debit Card
I214129,Debit Card
I300799,Cash
I163771,Credit Card
I252528,Debit Card
I147387,Cash
I186255,Credit Card
I308341,Cash
I177664,Credit Card
I278519,Debit Card
I160636,Cash
I306136,Cash
I240224,Cash
I227030,Credit Card
I258204,Credit Card
I231070,Debit Card
I434983,Credit Card
I326925,Credit Card
I183840,Credit Card
I533184,Credit Card
I735039,Cash
I319997,Credit Card
I228150,Cash
I215373,Debit Card
I275695,Cash
I107255,Cash
I301538,Cash
I119469,Debit Card
I678313,Debit Card
I264491,Credit Card
I177957,Cash
I188384,Cash
I527111,Debit Card
I152252,Credit Card
I131076,Cash
I151031,Cash
I638444,Credit Card
I884439,Credit Card
I381853,Credit Card
I104404,Cash
I926542,Debit Card
I263473,Credit Card
I177317,Cash
I941223,Credit Card
I323436,Debit Card
I245250,Cash
I589196,Credit Card
I241028,Debit Card
I846943,Cash
I131492,Cash
I252340,Credit Card
I571614,Debit Card
I269945,Credit Card
I293115,Credit Card
I180632,Credit Card
I946433,Debit Card
I557864,Cash
I721903,Cash
I995914,Credit Card
I423124,Cash
I318626,Credit Card
I284431,Credit Card
I334469,Cash
I568785,Cash
I307376,Credit Card
I136509,Cash
I194798,Cash
I236520,Credit Card
I295482,Credit Card
I472275,Cash
I301404,Credit Card
I100487,Cash
I206026,Cash
I332620,Credit Card
I434161,Credit Card
I166306,Cash
I207389,Debit Card
I237018,Cash
I246114,Credit Card
I216889,Credit Card
I137065,Cash
I284262,Cash
I154122,Debit Card
I950429,Debit Card
I499170,Credit Card
I253083,Debit Card
I508173,Debit Card
I763131,Cash
I149766,Cash
I702817,Credit Card
I208491,Cash
I337030,Cash
I312041,Credit Card
I150629,Cash
I197620,Cash
I730771,Debit Card
I873382,Credit Card
I637675,Cash
I153278,Cash
I842493,Debit Card
I156991,Debit Card
I722730,Cash
I299533,Credit Card
I187160,Debit Card
I101832,Credit Card
I943403,Cash
I454983,Debit Card
I338302,Debit Card
I328822,Cash
I168181,Credit Card
I108543,Debit Card
I120615,Credit Card
I248840,Cash
I283774,Debit Card
I212305,Credit Card
I111228,Credit Card
I230558,Debit Card
I130124,Credit Card
I221797,Cash
I154490,Cash
I159376,Cash
I214545,Cash
I213589,Cash
I101148,Cash
I186663,Debit Card
I291062,Credit Card
I103389,Cash
I140596,Cash
I115322,Credit Card
I273800,Cash
I384332,Cash
I268628,Cash
I146305,Cash
I648743,Debit Card
I148083,Credit Card
I733806,Credit Card
I214007,Credit Card
I480974,Debit Card
I126095,Credit Card
I100033,Credit Card
I265860,Credit Card
I512570,Cash
I118757,Credit Card
I313516,Cash
I223795,Cash
I254341,Credit Card
I273435,Credit Card
I127616,Debit Card
I893043,Credit Card
I295712,Cash
I162565,Credit Card
I300520,Credit Card
I149473,Cash
I936118,Cash
I242648,Cash
I725938,Debit Card
I299480,Credit Card
I134272,Debit Card
I128518,Debit Card
I293208,Cash
I332003,Credit Card
I251779,Debit Card
I334155,Debit Card
I724379,Debit Card
I843249,Cash
I292746,Credit Card
I230701,Credit Card
I230983,Credit Card
I313187,Cash
I206607,Credit Card
I323928,Cash
I374693,Cash
I318521,Cash
I222827,Credit Card
I649554,Debit Card
I111055,Credit Card
I570709,Debit Card
I251307,Debit Card
I117277,Credit Card
I240824,Credit Card
I135134,Credit Card
I222401,Cash
I263185,Cash
I311849,Debit Card
I137332,Cash
I319596,Cash
I632642,Cash
I127930,Cash
I258931,Credit Card
I230411,Debit Card
I136610,Credit Card
